,Users,Review_title,Review_date,Review_content,Rating
11,arungeorge13," Can't wait to see what Lokesh does with the universe he's built! [+82%]
","<span class=""review-date"">12 June 2022</span>","
The greatest challenge for Lokesh Kanagaraj, as a filmmaker, wasn't just to offer several hoot-worthy moments for fans of Kamal Hassan, but to come up with a first-of-its-kind pure action film featuring a trio of actors who are known for their spectacular performances. His packaging totally delivers, with a fantastic outing for all the guys involved. Plotwise speaking, Vikram is basically The Batman set in Chennai. A serial killer is on the loose, and a special ops team is tasked with finding the culprit. While that's just one way of putting it across, Vikram is a lot beyond that. It's also about a father avenging his son's death, and a massive drug bust; it's also about gangsters, special agents, and rogue cops - Lokesh's universe-building skills are excellent!I'm SO GLAD Lokesh chose these actors to play their respective roles. Vijay Sethupathi's antagonist act is even more menacing than the one in Master, and when he's high, he's next-level. Fahadh Faasil essentially holds the proceedings together in the first half, in a solid feat that keeps getting better. As for Hassan, this is a film where the director just lets him run amok, going absolutely wild in the set-pieces. Speaking of the set-pieces (choreographed by Anbariv), these are some of the most well-crafted and staged works you'll see in an Indian film in a good while. DOP Girish Gangadharan captures all the pyro-filled beauty of the action, while also using close-ups to pick up the subtler expressions of the dashing trio.And there is no Vikram without Anirudh Ravichander, whose remarkable music and background score elevate the film to greater heights. The riff-filled theme music is one that'll stay on my playlist for a pretty long time. The editing by Philomin Raj ensures a certain pace to the film's events, even when it shows signs of slowing down. Suriya's late entry sparks even more delight when he's playing a full-blown baddie, with chances of him squaring off against Dilli (from Kaithi) all the more possible now. Yes, (re)watch Kaithi before seeing Vikram for an enhanced universe-building experience.
",8
12,drkshitij-24847," Overdose of Style with Scarcity of Meaning and Substance
","<span class=""review-date"">9 June 2022</span>","
Lokesh is one of my favorite director and my favorite film of him is Master, it was Awesome combination of storytelling, emotions and Fan service of Vijay.Here, I guess Lokesh was trying to live his childhood dream and encorporated everything he loves in a single movie and tried to make it the greatest movie of all time but he only succeeded partially. As a Refrence I would like to say 'he was trying to make a Guy Ritchie film with a SS Rajamouli film with a Michael Bay film with with a Quentin Tarantino film' all four in one along with full tribute and Fan service to kamal hasan & full utilisation of Fahadh Faasil. In the process he went into overkill mode & as a result the film visually looks Awesome with some great mass moments but that's about it, you take nothing home with you. You don't care about the story or the characters much, you just wait for the next mass moment and action scene. Also in trying to tick so many boxes he wasted awesome Vijay Sethupathi ,who was phenomenal in Master but he had nothing much to do in this film, he was just a generic villian whose only role was to growl looking at the camera.Now I am going to talk a bit about SPOILERS for those who have seen the movie, and for those who haven'tSPOILER ALERTEveryone's Excited about Surya's cameo, his character was build up like he was the boss of all bosses; but I didn't feel one bit intimidated or intrigued by his presence.Instead of the star presence and the gravity that he has there was nothing new or exciting about his character, he was shouting, trying to be menacing and unpredictable but his role just went flat for me. It didn't kept me hooked or Excited on how he would produce a great challenge and antagonist to Kamal Hasan's character in the next part, it just looked like Surya was trying to play a drug addict mob boss villian.All in all it's a decent watch for Kamal Hasan, Fahadh Faasil some action sequences and mass moments but nothing more than that.
",6
13,akhil027," Keep your expectations low.
","<span class=""review-date"">13 June 2022</span>","
All I could hear for the past few days is that Vikram is such an awesome movie and all. So naturally, I had so much expectations. I have to say I wasn't satisfied. But I wasn't disappointed either.The action sequences are well shot. Kamal, Fahad, Chemban Vinod(the police officer) nailed their roles. Anirudh does a great job with the background score and songs.Keep your expectations low and you'll be in for a treat.

                    35 out of 67 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",7
14,maulin5," Good movie with Great Performances
","<span class=""review-date"">4 June 2022</span>","
Vikram is one of the most interesting and anticipating movie for everyone because of the massive star cast. After Pushpa, RRR and KGF Chapter 2, Vikram is released to roar. The film is a complete commercial paisa wasool movie.First half of the movie is fantastic. Fahadh Faasil is the best young actor in today's time according to me. He has done a superb job. Vijay Setupathy is a gem of an actor. I loved his entry scene here. No other actor can pull up this entry scene as he has done it. Other star cast is also very much suitable and provide a good support. First half belongs to FaFa and Vijay.While, the second half is a treat for Kamal Haasan fans. Ulaga Nayagan- Kamal Haasan is extremely good in the post interval portion. You will be surprised to see him firing constantly from the giant machine gun. That scene is on another level.Though, one may find first half awesome and second half a bit stretched. I found that there are some surprises in the later half, but there are a few blunders too. But just a few. Like I didn't get the scene of child re-breathing.Special mention to the actress who played the role of a maid. She is superb.Lokesh's direction is improving gradually. This film will be considered his finest directorial product. He has done a fine job, without getting caught by the idea of too much slow-motion, which many people hate including me, and which were too much in KGF. Though, this film is different from RRR and KGF, it can be compared with Pushpa. As part 2 is coming here too. People are going to love Surya as the bad guy in part two. Just a glimpse of him in the end was terrific.Anirudhha has done his job superbly once again. The title theme music is on my mind while I'm writing this. Extraordinary music with a catchy tune is what Anirudhha offers to you!On the whole, a must watch movie in theaters. This is how a good commercial south indian movie looks like. A good movie with stellar performances.
",9
15,kichujdass," Performance
","<span class=""review-date"">3 June 2022</span>","
Great movie. Little bit lag of 1st half and engaging 2nd half. Performance of every characters brilliant especially kamal hassan screen presence and excellent cameo role of surya.overall it's a mass movie and worth watch.
",9
16,butravi," Overdose of everything except logic
","<span class=""review-date"">9 July 2022</span>","
Watched it solely because of the reviews, but senseless violence from beginning to end, without any sense.Copied key themes from equaliser, project power and many Hollywood movies to end up as a projection of majority of movie goers today. Call a spade a spade, submit your honest reviews in future..Only problem is there might be a second part coming..

                    81 out of 170 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",1
17,OnjiMooteDaMarle," When the actor becomes bigger than the story, the story loses it's life
","<span class=""review-date"">9 July 2022</span>","
Apart from a brilliant Sethupathi & an above average Fahadh, there is nothing in this film that makes it worth spending nearly 3 hours let alone any money. There is drugs & gangsters with politicians. Then there is a suspense that is so diluted that you know it from the very beginning what it is because of the casting. When the actor become bigger than the story, the story loses it's value, shine & life. The director tried to make it a show with unnecessary style but it is played so many times in films. The story is bland and has nothing new to offer not even any moments to remember. The VFX is below par even for a Tamil film. The music & the lyrics are worse than the screenplay. The teaser that was shown of the film was a show. Nothing in the film resonated with the teaser. The teaser was excellent with Kamal getting ready to feed a lot of big shots probably gangsters at the same time gets ready with guns and ammunitions. So the teaser was a fluke.Why does Kamal Hassan's face look so much filled with VFX or make up? It looked bad in the trailer itself. Make him look his real self! I am in awe of Vijay Sethupathi's expressions. His first I watched was Naduvula Konjam Pakkatha Kaanom. While actors go for 6 pack and body transformations to show off themselves (and not their acting skills) Sethupathi's physique has never come in between his class acting. Sethu should stop taking such films. He's already done Vikram Vedha & Master with similar roles. Fahad is a brilliant actor as well but he is so good in dramas more than such action films especially Malayalam dramas.Aniruddh's music has always been more of a copy of what has been already heard be it using Ilayaraja's old music for his 'famous' Why this kolaveri d or be it here the lullaby that has so much resemblance to the opening credit song from Nayakan - Thenpandi Cheemayile. The music is a huge dud. I hate the way films say 'an aniruddh musical'. That's what you say about Ilayaraja or A. R. Rahman. This boy hasn't come out with any music that has transcended boundaries and with the kind of music he produces, I doubt he ever will.If they are going for a sequel, hope they write better. Finally Welcome Suriya!
",1
18,Wolverine1990," Bawaal Picture Hai Bhaisaab !!!
","<span class=""review-date"">5 June 2022</span>","
I saw Hindi dubbed. LOVED IT. Only 3 Indian movies I saw this year, that were worth watching on Big Screen, The Kashmir Files, Attack: Part 1, and Vikram.No words. Just waiting for next part. What a thrill ride. Don't consider it usual, mass masala overacting type south movie. This is brilliant. Full of twist and superb action. All the actors have given their best. Bhai watch it Don't miss it. Forget KGF, this is the south movie, pride of South Indian cinema.

                    44 out of 90 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",1
19,dy38493," Good movie from Kamal and lokesh
","<span class=""review-date"">6 June 2022</span>","
Good movie to watch for especially the thriller and little bit mystery the movie director lokesh has done great job and Kamal Hasan's is looking young in the movie.

                    17 out of 32 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",9
20,vibhus-17780," Vikraaaam
","<span class=""review-date"">3 June 2022</span>","
A 100% Loki Sambhavam .Loki very well handled the multi starrer movie , with three talented performers he delivered a high octane action thriller . I was really surprised with 1st half , Fafa was the real hero of first half . First story moves in investigative way , it took it's own time to build . Kamal had less screentime in first half . Second half completely filled with action sequence and Aandavar's swag . Vijay Sethupathi as antagonist was completely different from his usual way of performance , it could've been more better if they had explored bit more of "" Santhanam "" character . Fahadh Faasil plays as investigative officer , as expected he steals the show , first half completely dominated by Fafa . Kamal as Vikram , right from pre interval to end showed comeplete swag , eventhough in first half he had less screentime he scored in some emotional parts . Asusual Anirudh music was back bone of te movie . Cinematography was jus stunning , especially in pre interval camera movements was just awesome ( they used high techs ) . Suriya's cameo was really terrific opening portal to Loki verse . Loki creating his own drug mafia universe in Kollywood , really looking forward to it . Overall a well made Action entertainer . I hope family audience will support this kinda movie on big screen . Aandavar tharisanam 🛐 .
",8
21,cs_rahul_kumar," VIKRAM is a Treat to Watch with Spectacular Performances from All The Actors !!!
","<span class=""review-date"">8 July 2022</span>","
Filmmaker Lokesh Kanagaraj uses the talent of actors Fahadh Faasil, Vijay Sethupathi and Kamal Haasan brilliantly in his latest venture Vikram.Vikram is a befitting comeback of Kamal Haasan to satiate his fans' 4-year-long hunger to see him on the big screen. The title Vikram is borrowed from the actor's own film which released in 1986. However, the story is set in director Lokesh Kanagaraj's cinematic universe wherein he has interlinked characters from his previous directorial Kaithi and the old Vikram. The music of the film is composed by Anirudh Ravichander and the dialogues are written by Rathna Kumar along with the director.Lokesh Kanagaraj has loaded Vikram with a battalion of characters but he has ensured that all of them have their due scope to perform, even though some might have lesser screen time including 'Ulaga Naayagan'.This simply shows his prowess as a writer who values his story over simply paying the fanboy tributes to his guru Kamal Haasan for the sake of it. But that doesn't mean there is a dearth of mass moments for his favorite star. Every time Kamal makes his entry, the background music with Anirudh's voice - 'Once upon a time, there lived a ghost' - feels electrifying, quite literally.Vikram truly comes alive post the adrenaline-filled interval scene. Action is Lokesh's forte and the second-half has impressive stunts (stunt directors are Anbariv masters) and a superior camera work by Girish Gangadharan.Watching Kamal Haasan, who is apparently 67 years old but certainly doesn't look that way on screen in this all new action avatar takes one back in time to the early days of the actor's career - younger and dapper.The film is in a way an ode to the veteran actor with umpteen number of references from his older films like Kuruthipunal, Panchatanthiram, and Nayakan. Dark humour to detailing, all departments of Vikram have worked in unison to render a massive salute to the exemplary filmography of the legendary Kamal Haasan.On the other hand, Vijay Sethupathi is remarkable as Santhanam especially in his whistle worthy and quirky introduction scene. Though it was refreshing to see him try out something new shedding off his usual Sethupathi-ness, his tight-lipped dialogue delivery instead of coming across as an interesting characterization was only a major distraction.However, Fahadh Faasil steals the show with an all round performance exhibiting passion, love and revenge at perfect levels.Kamal Haasan is, as has been emphasized already, fabulous. Vijay Sethupathi fleshes out an edgy criminal whose frazzled heart and addled mind push him in startling directions. Fahadh Faasil sails through his role with such aplomb that one can never have enough of him. How tantalizing is the prospect that the consummate show-stealer will be back to reprise the role - repeatedly hopefully - as the Lokesh Kanagaraj universe expands and moves into the future!
",10
22,kvkumar-30129," A Lokesh Kanagaraj Sambavam
","<span class=""review-date"">3 June 2022</span>","
Aandavar's Sirappana Tharamana Sambavam.Vijay Sethupathi - What a performance....!!Fahadh Fazil - Freaking Beast...!!Lokesh Kanagaraj is a GEM of Indian cinema
Girish - Classic Cinematography
Philo - Vera level Editing
Perfect utilization of Tamil and Malayalam cinema industry's super fine actors.Vikram is not just a Movie, it is going to be the new universe of Lokesh Kanagaraj.Anirudh the Dynamite, RDX or whatever the most dangerous explosives which you could call him.Waiting for the next big thing of this team.
",9
23,akeducation-91270," Vikram - The Beginning of Loki's Cinematic Universe (LCU)
","<span class=""review-date"">3 June 2022</span>","
All Three KamalHassan, FahadFaasil, VJSethupathi Dominates & Drives the Whole movie, which they kept us on Edge of the Seat. Best & Continuous Action & Violence Sequences Made in Recent times Better than KGF < Vikram. Loki's Writing Screenplay Direction Makes us shocks - Twists - Goosebumps - Repeat. Waiting for his Multiverse Connections. Anirudh Extraordinary, Stunning, HollywoodRange BGM😳 was unbelievable. Young Anirudh was Proud of TamilCinema & Gem for IndianIndustries. ActionPacked Must watch Thriller Totally Made for Theatre experience.

                    39 out of 58 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
24,heroglobal," Mind Blowing - POWER OF SOUTH INDIAN MOVIES - Bollywood Dying
","<span class=""review-date"">3 June 2022</span>","
This was literally out of imagination. We can say that this was one steps further to KGF -2.I don't know where South Indian Industries are going, but the way they move, it's going to be tough for KOREAN FILM INDUSTRY & HOLLYWOOD INDUSTRY.This is the must-watch movie to feel the theater experience.

                    25 out of 40 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
25,sksushanthcool," Extremely overrated. Shocked with the reviews.
","<span class=""review-date"">12 June 2022</span>","
Cons:1. Story is poor and not captivating.2. Screenplay is not interesting.3. Lack in continuity.4. Mindless, unnecessary action sequence.5. Borrowed a lot of scenes and ideas from
Batman movies.6. Lost interest in movie in lot of places.7. Literary saw guy sleeping with loud snor.Pros:1. Amazing cast.2. Vijay Sethupathi's charm and screen
presence.3. Fahed Fasil's performance.4. Stunts were decent.Overall: If you want mindless action with lots of gunshots with bad story and logic, then go ahead this movie is for you.
",2
26,BradCharles1," If you're looking for a crass, story-lite, overhyped movie, this is for you
","<span class=""review-date"">8 June 2022</span>","
I'll admit it- i loved the original Vikram movie (1986) which was a spy thriller and ahead of its time in Indian cinema. Not surprisingly, I had similar expectations for this movie as I walked in.Lo and behold, I was hit with a badly done knockoff copy of reservoir dogs/pulp fiction/KGF coupled with crass dialogues, cuss words and poor character development (apart from Kamal's character). This turned out to be a typical mass masala movie involving gangsters, corrupt police officials whom the hero literally mows down using a WW-I era machine gun. I wish I could get back those 3 hours of my life, my money and my dead brain cells.Needless to say, this is going to be my last kamal movie. If you're a die-hard kamal fan who doesn't care about others think and wants to kill some time watching this in a theater, go for it.
",1
27,crazyraju," Average Film with good action block and predictable Twists
","<span class=""review-date"">5 June 2022</span>","
Storyline - Agent Vikram (Kamal) with his masked identity leads a masked gang, who have their own tragic story in their past because of a dreadly drug mafia. Agent Vikram fights against the drug mafia, headed by Santhanam (Vijay Sethupathi) with the help of an undercover agent Amar (Fahad Fasil) and Bejoy (Narein). How does he successfully defeat the gang of Santhanam, forms the rest of the story.Performance wise, Kamal and Fahad Fasil have done their part good. If first half of the film is dominated by Fahad Fasil, second half of the film is dominated by Kamal Hassan. Vijay Sethupathi's villain role could have been better as comparing his role in ""Master"", the villain role in this film seems to be weak.The film has surprise cameo roles connected with director's previous films. The film has got good production values but screenplay of the film is simple and many twists are quite predictable.Direction wise, the film is not as good as edge of the seat thriller ""Kaithi"" nor it is not as bad as ""Master"". The film is an average commercial flick with good action block.
",5
28,harishnj," Stunning Action Flick
","<span class=""review-date"">3 June 2022</span>","
Wow! This is one of the best action films ever made in the world cinema. The brilliant direction and cinematography makes it very interesting. Brilliant performance from Kamal sir and it's the best comeback. All the performances from the rest of the crew is great to watch.The soundtrack from Anirudh sir is stunning and makes it completely engaging. Surya sir role atlast is magical and completely unexpected and brilliantly shot. This film has few references to Kaithi film, hence learning some main characters in Kaithi will help you in understanding some scenes better in this film.

                    11 out of 21 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",9
29,subeeshfernando-73368," BEST MOVIE OF THE DECADE
","<span class=""review-date"">3 June 2022</span>","
This is a movie which Indian cinema should respect ..nothing gonna stand between Vikram ...best no words. Kamal as a lion ..sethupathi a elephant and Fahad as a tiger and finally Surya hahahha and anirudh and Loki awesome.

                    31 out of 48 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
30,santhosh-10290," Vikram
","<span class=""review-date"">10 July 2022</span>","
Excellent Movie. Everybody acted well in the movie. The movie was so interesting and thrilling. Songs and BGM in the movie were excellent. This is one of the Best Tamil Movie of 2022. Excellent Movie.

                    4 out of 6 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
31,isaacsundaralingam," Loud, obnoxious and fun... At least for the most part
","<span class=""review-date"">3 June 2022</span>","
As much as I enjoyed this movie, I still feel like this shouldn't have been a Kamal Haasan movie.Kamal has had a string of great movies recently... With Unnaipol Oruvan; a dialogue-heavy movie where the conflict required no excessiveness, with Vishwaroopam; a movie while flawed, was ambitious enough to take Tamil cinema to a non-Tamil accustomed front, with Uttama Villain; one of Kamal Haasan's best movies to date that is one of the very few movies in this exaggerated industry to consciously portray cinema as an actual art form, with Papanasam; one of the most simplest, yet a brilliantly made thrillers, with Thoongavanam; a movie that seemed to rid itself of every cliche that plagues the Tamil cinema industry (this includes the runtime as well), and Vishwaroopam 2; well.... Vishwaroopam 2 never happened.And after 4 years, we have a new Kamal Haasan movie; which while enjoyable by Tamil cinema standards, doesn't have the ambitions and the cinematic progressiveness that Kamal movies have had. It was very well written, especially in its first half, but ultimately ends up being a Tamil action movie and I need not asterisk anything. The energy of the movie never waned and while it did seem like the writers hyped the story into a cliche third act, the movie holds up well, very well in fact, in the entertainment box.Overall, I'd rather have seen this movie with some other actor since I feel like this macho persona is best left for someone that is not Kamal Haasan... not that he's bad at it, he actually did a stellar job, but because as of right now, he's the only big name Tamil actor to push the boundaries of this cursed industry. The last thing I'd want from him is the usual Tamil archetype overpowered Super Saiyan freak that we've seen a million times.
",7
32,nikhleshk," Raw and Rave
","<span class=""review-date"">3 June 2022</span>","
Hats off to lokesh who utilised Kamal sir,Vijay and Fahad so well. Bang on conection with kaithi. And Surya cameo was another level. So overall welcome to another universe which will make u eagerly wait for another chapter.

                    9 out of 16 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",9
33,joyalbrightt," OUTSTANDING BLOCKBUSTER
","<span class=""review-date"">3 June 2022</span>","
Am speechless ,jubilant feeling , goose bumps still running ! Highly remarkable experience !Before that ,please dont Be the Spoilers !! Keep the Surprises alive !!!Anirudh ,this man is amazing ,wow ,each time he brings new tracks and music to impress and never fails ; superb !!!Cinematography ,editing & all other technical side are in top standard quality !!!ACTIONS ARE fantastic , Goosebumps overloaded !!Vikram is full of acting showcase ,even small roles are well defined and performed with clarity !everyone shine in their space !Coming to lead roles ,our fafa FahadhFaasil is like always outstandingVijaySethupathi ,this man ; hero or villain ,dose not matter ,he will nailed to perfection !!& surya; he just revealed his new role ,its going to be a epic feat in his career !Before the main man - The Maker LokeshKanagaraj he just opened a universe ! Fabulous filmmaker !And The #KamalHaasan do i need to say more ? Oh man , His Presence , the Style ,the Attitude , the acting , !!! The Ulaga Nayagan - Aandavan vilayattam .Dont miss this epic theater experience ,South industry is keep upgrading like anything , top class Industry for a reason !!Super Excited for the next partvikaram , vikram ,vikaram ! The sounds keep running on my mind.
",10
