,Users,Review_date,Review_content,Rating
35,Deepak Anand,a year ago,"It's Sure Shot Blockbuster ❤️💯.. Now I'm truly a Fan Of Lokesh Kanagaraj's Direction... 

Legends Are Legends - Aandavar is the one❤️💯🔥

Only Positive Notes :-
1) Powerful Cast n Crew
2) VJS Sir, Fafa Sir - Excellent Performance 💯🔥
3) Anirudh Sir - Best BGM Score, Whole Audience Vibed Together including me, Terrific 💯 Music
4) Cinematography, Editing, Screenplay, Color Grading, Stunts - Top Notch ✌️💯💪
5) Loki Cinematic Universe worked out very well
6) The Main Character - Suriya Sir🔥❤️, ...More"," Rated 5.0 out of 5, "
36,Kandavel Durairaj,a year ago,"Best ever made film in India. I am a huge fan of Aandavar/Ulaganayags Padmashree Kamalahasan  sir. Main story was about fighting against drug mafia to eradicate drugs, which is not new to anybody, but what made this special is that there are lots of sub plots for each characters in the movie and these sub plots converge into the main story 30 minutes before the climax. Kamal and Loki gave equal screen presence to every actors and they all did amazingly well. I felt little bit of extra violence i ...More"," Rated 5.0 out of 5, "
37,ASWIN RAM,a year ago,"The stars are not enough to rate here.. i will give it 10/10. Lokesh has taken the movie to international standards. For the first time i am seeing an indian movie that has got the gunplay atleast 80% correct. The fight choreography by anbariv was absolutly gorgeous. Fahad, Vijay sethupathi, Chemban vinod, Ramesh tilak all had portrayed brilliantly. LK has even made Kamal hassan character make believable given his age and flappy body shown at the begining. The whole movie can be compared to Denz ...More"," Rated 5.0 out of 5, "
38,mahesh narayanan,a year ago,"Edge of seat thriller, fast paced action.  I had watched Kamal in the first part in 1987 Vikram. In those years Kamal movies were known for his wonderful songs and dances. That movie was ahead for its time with fun moments.  

Fast forward to today the current installment of Vikram is of very different genre, Kamal has blended very well and gives a first class experience.  Good action and rough house first fights are sso much fun to watch. 

Vijay sethupathi as a menacing villian is superb is hi ...More"," Rated 5.0 out of 5, "
39,Anurag Panda,a year ago,"Let's keep everything (the movie, story, acting,romance,action,thrill, suspense, twist,comedy)aside for a moment and take that moment to remember the name- *LOKESH KANAGRAJ*
Save his picture,bcoz this guy is definitely gonna represent India in international levels in cinema world.

No comments for Vijay Sethupati Sir,Kamal Hasan Sir and Fahaadh Faasil Sir. They were always the best in their business. The most difficult thing in this movie was in giving roles to the best so that they can deliver  ...More"," Rated 4.0 out of 5, "
40,Dr. Mruthyanjaya Rao Mangipudi,a year ago,"The film was made in a non-linear fashion. It is imperative that the audience watch the film with all of their senses under control, focusing on how the plot unfolds from the beginning to the finish and being able to connect the dots where they are supposed to be, failing which we may end up in utter chaos and bewilderment. Also, don't get carried away by Anirudh's fantastic BGM. It transports us to another universe and allows us to interpret the story in new ways, giving it a new dimension.

Ev ...More"," Rated 4.0 out of 5, "
41,S k,a year ago,"All the reviews are right about the brilliance in the crafting of such an awesome movie. 

Its a new formula by Tamil movies to be specific where other languages can envy about. 

Excellent tight script with sufficient screen time for each character. Each character was highlighted in this movie unlike other movies. 

I felt it’s a combination of Martin Scorsese’s style, a bit of Quentin Tarantino’s touch and a feel of a Goodfella. Overall the movie has a complete different feel altogether. 

Thi ...More"," Rated 5.0 out of 5, "
42,Sunny Nair,a year ago,"This is real treat for cinema Fans.
Fans of Fahad Fassil
Fans of Vijay Sethupathi 
Fans of Kamal Hasan Sir.
This movie should be experienced in Big Screens With top notch sound quality for goosebumps and the feel. 
Screen Time for Fahad was longer than any other actor in the movie and did perfect job better than his Pushpa character. 
Vijay Sethupathi another lvl like upgrade version of his negative character from super hit master and he is simply awesome, one of the best actor in world of cinem ...More"," Rated 4.0 out of 5, "
43,DHONI KRISH,a year ago,"Neither this movie beats with KGF
Nor Since kamal is a technical actor, for his performance in this average movie,
பல குப்பைகளுக்கு நடுவுல விக்ரம் ஒரு வைரம்..❤️❤️❤️🔥
Kamal sir:
No needed, as usual as we're seeing the old kamal in the screen. What a acting, he has nailed it. Especially the dialogue delivery and the way he delivered his acting to audience, Scintillating. 
Fahadh fasil:
80 to 85% first half, what a acting...the sudden transformation from a laugh to action..🔥🔥ohh god he nailed it ...More"," Rated 5.0 out of 5, "
44,Pradeep Rajendran,a year ago,"#Vikram 2022
One of the Finest Action Thrillers in Tamil cinema.. You can Feel the Cinematic Experience in the World of Lokesh Kanagaraj (Director).. The Spinoff Characters of Kaithi, that's the Brillaint move 👍

The Characters of Fahad fasil and Vijay Sethupathi was intensely made.. & all other Supporting characters were neatly crafted. Last but not least Kamal Haasan sir a Big salute 🙏 for the swag and Stylish character you have made and no doubt this will be the one of the best in His Caree ...More"," Rated 4.0 out of 5, "
45,Arvind Ramachandran,a year ago,"Vikram is an action thriller like none other in Indian cinema.  Lokesh Kanagaraj has taken his style of guns, night light and dark scenes and subtle references to hero's past work to another level of excellence,  if not perfection. Anirudh's music and background score adds to the electrifying tempo of the film. Kamal's screen presence is mass , his eyes speak when his words are absent and when he speaks his fans if not all of the audience feel goosebumps.The co-stars have been given excellent sp ...More"," Rated 5.0 out of 5, "
46,pourna R,a year ago,"My actual rating is 4.95, I can’t literally rate it, so I gave 5 star.
0.05 reduction is for the plot.

First let me know talk about positive, mind blowing & stunning points about the movie!
This movie is not a Kamal or VJS or Fahad or Surya’s show, 
it’s totally Lokesh Kanagaraj’s show!
First ever Indian director to make a crime thriller with mass heroes as lead cast and everyone had their equal role & part in the movie. Not just the mass heroes, even the supporting characters made as awestruck ...More"," Rated 5.0 out of 5, "
47,Manju Mani,a year ago,"Brilliant movie! Must watch, a feast for Kamal Fans
Soul satisfied being a Tamil movie fan! I had been waiting for such a commercial movie for a long time now, especially with the icons of the likes - of Rajni and  KH!
Fahad's acting will keep lingering in our minds, very impactful. Needless to say, Vijay Sethupathi, though Bhavani and Santhanam characters are drug lords, will convince you to believe they are two different personalities.
It's been very disappointing to see so many movies questio ...More"," Rated 5.0 out of 5, "
48,Ravi V,a year ago,"Watched the film today, Nice to see Kamal film after very long time, superb performance.
Enjoyable faily movie to watch only big screen.
Vijay Sethupathi and Fahad Fassil as usual at their best. Surya 5 minute appearance is excellent.
Supporting cast all have played their roles excellently.
Nice songs and BMG by Anirudh.
Finally a Classic Entertainer from Lokesh Kanakaraj. Hats off to him once again for Masterpiece film.
Today  8th July 2022 being released in OTT Platform  but  the effect  u Wat ...More"," Rated 5.0 out of 5, "
49,Debal Adhikari,a year ago,"Vikram is a perfect mix of Martin Scorsese's gangster movies and Bruce Willis Red. It's a well executed and choreographed movie. The star cast is superb and phenomenal. The legend Kamal Hassan is on his finest point in this film as along with other star cast as well. The story is slow paced at start but it develops up into a full blown thriller. Also,  it demands a complete participation from audience to understand it's depth and characters. This makes the film much more engaging while enjoying  ...More"," Rated 4.0 out of 5, "
50,Rajasekaran Subramanian,a year ago,"#Movie_Experience

Vikram (a Theatrical release, Jun’2022, Tamil, Genre - Action) - 3 hrs of anti-drug operations and fight between good agents and peddlers.

Heard enough amount of good reviews by word of mouth and social media. With that, seated in a full house theatre on the second week, expecting a fun filled start to the weekend. Enjoyed the Universal hero’s intro dance, screen presence, subtle mass scenes but only that. 

To me: Few things kept me little away from the fullest enjoyment,

	 ...More"," Rated 3.0 out of 5, "
51,Kumaraguru Thayumanavar,a year ago,"There is a big difference between experiencing a movie (in a theater) vs watching it (on OTT in home). I realised how badly I was missing this experience for the past 2.5 years. To whistle, cheer and share the same emotions with unknown people is something to be relished. Vikram gave me that opportunity today. 

I want to focus on 3 aspects - writing, enacting and creating a auditory and visual experience

Writing - Salute to Lokesh (with support from Rathnakumar). It's not an easy story to be c ...More"," Rated 5.0 out of 5, "
52,Vish Vish,a year ago,"First of all I can't describe it in words that how much the music has been a back born to the movie , marvelous music by Ani, All the actors in the movie have put their full effort to give such an excellent outcome, Kamal sir was really stunning in this age of him ..He was so awesome Appreciating his work... ,Especially I loved the roleplay of Fahadfaasil, Really he was the man to travel in the full movie continuously , He really has nailed his performance Superb !!!  All together the director i ...More"," Rated 5.0 out of 5, "
53,stefan Abhishek,a year ago,"💯💯💯💯💯

What a stunner !! The whole movie is very well curated in terms of story establishment, action and goosebumps. The BGM of the movie is top notch, takes elevation to the next level. It’s a treat for all Kamal Hasan fans, his performance is staggeringly good. All Makkal Selvan fans also get ready to witness a whole new level of power and violence. And last but not the least, Fahadh Faasil killed it, his screen presence makes the storyline more peculiar and sensible. Overall this movie  ...More"," Rated 5.0 out of 5, "
54,Vishnunanda Surain,a year ago,"At first I thought this movie was just famous because of Kamal Hasan but my god was that movie a treat. The suspense this movie brought was just on point. Kamal Hasan after so many years brought to us such a fantastic movie.

Vijay Sethupathi, no words to describe this man. What a fantastic versatile actor. For him to get into that character Sandhanam and walk in that style naturally and his lips moving that way. The villian character was just superb for him.

Farhad Fassil. This man doesn't nee ...More"," Rated 5.0 out of 5, "
55,Sasi Kiran,a year ago,"#VIKRAM - A film crafted with subplots that connected to each plot & turns out like a puzzle at turns in proceeding ! 

Kamal Haasan sir has once again Proved as ' Ulaga Naayagan ' , his screen presence is too Wonder regardless of age..as he looks too sharp & dapper at every frame with Acting 👌🤩🔥🔥

Vijay Sethupathi and Fahadh Faasil are at their best as usual 👌💯 , Later there Comes the Suriya with Deadliest Intro Ever at last bit of Climax   🔥 & also we get to see the characters from Kart ...More"," Rated 4.0 out of 5, "
56,Bala subramaniam,a year ago,"A well crafted and designed 'action thriller' of 2022, which is another milestone of 'Tamil cinema'. All lead characters are good in there own ways. Especially 'Fahadh' is a monstrous actor, who is capable of carrying out any sort of human emotions at ease. 

'Vijay sethupathi' has proved his versatility once again, his evillness conveyed in eyes, more than body language is spectacular. In a scene in which he trains and practice shooting in double barrel guns is ""power packed"" BGM, cinematograph ...More"," Rated 5.0 out of 5, "
57,Mervin Chris,a year ago,"Aandavar aaatam and Loki sambavam🔥🔥Must watch in theaters!!

What can I say, whatta comeback after 4 years! I never felt this satisfaction with any recent movies. From the beginning to the end, it will keep you engaged. Lokesh is a gem to kollywood. Kamal, Fafa, Vjs, cameo from Suriya and every other characters have acted very well. Anirudh's bgm is to another level. On the whole it's a must watch movie on the theatres, not just once. You will never be disappointed watching this movie. Yes, it ...More"," Rated 5.0 out of 5, "
58,mohbh 1981,a year ago,"Kamal Hassan rocks
Yes 
VJS
FFA
and all others were there
They did well
But this is about the king
The master
His ode to excellence 
There is only one Kamal Hassan
He proves yet again that he is the ace
My first movie in the theatre was the original Vikram. That’s when I fell in love with this genius.
He has never failed to inspire and his commitment is excellence is second to none
What a movie
Pinnacle of expression 
Watch this
Btw
Whoever said Mr Surya came and rocked the climax and stuff 
Giv ...More"," Rated 5.0 out of 5, "
59,Sundar Ponnusamy,a year ago,"This movie is nostalgic. Its wonderful to see Kamal playing the character of Vikram again. The movie Vikram from 1980s was one of my childhood's most favorite movies and I always felt that it was way advanced for its time. 

Lokesh Kanagaraj is a great director and this is definitely his best movie till date, IMO. The second part is going to be amazing with a multitude of massive stars in it. 

Hands down Vikram is one of the best Tamil movies I have seen in a long time and sure Kamal's best mov ...More"," Rated 5.0 out of 5, "
60,Jayanth Shanmugam,a year ago,"A fantastic crime thriller, action film and a great comeback for Kamal Haasan as well. The acting is top notch especially, the performances given by Vijay Sethupathi, Kamal Haasan and Fahadh Faasil are excellent and they deliver well on their roles. 
The movie is fast paced and keeps you on the edge of your seat always. Even though the plot gets predictable towards the end of the first half, it doesn't take away anything from the film. 
The soundtrack and the bgm provided by Anirudh accentuate t ...More"," Rated 4.0 out of 5, "
61,Saravanan Kandasamy,a year ago,"I've been a Kamal fan for many years now and I honestly can't remember the last time I enjoyed one of his movies this much.

What a masterclass in acting from Kamal, Fahad Fasil and Vijay Sethupathi. These guys are absolute legends, every one of their performances was top class.

Kudos to Lokesh Kanagaraj for keeping the story tight and the action non-stop. The dialogues were top notch and the action scenes very thrilling. Highlight of the movie is the pre-interval big reveal. I sat through the  ...More"," Rated 5.0 out of 5, "
62,Prabhu Gopal,a year ago,"It one of kind movie, awesome performance by every character. Director has done outstanding job balancing all the characters. 

I don’t want to go over each & every details of this movie, because if the movie is bad or not good we can specify I don’t see any flaw. So watch and enjoy it.

We always feel Indian movies not to the level of Hollywood, even with all special effects & animation. But you will not feel after watching this movie, it brought Dark Knight in front of my eyes, even people say ...More"," Rated 5.0 out of 5, "
